MESSAGE_ID,CATEGORY,SUBCATEGORY,CONFIDENCE,MESSAGE_DATE
20,Unknown,Assistance,0.3,2/26/2022
34,Intentions and Mobility,Future Intentions,0.6,2/26/2022
46,Unknown,Travel,0.4,2/26/2022
48,Unknown,Support,0.2,2/26/2022
49,Accommodation and Housing,Living Arrangements,0.75,2/26/2022
53,Unknown,Transportation,0.5,2/26/2022
98,Intentions and Mobility,Visits to Ukraine,0.7,2/26/2022
101,Unknown,Travel,0.2,2/26/2022
124,Unknown,Travel,0.6,2/26/2022
126,Unknown,Consultation,0.6,2/26/2022
127,Unknown,transportation,0.6,2/26/2022
157,Unknown,Assistance,0.4,2/26/2022
167,Unknown,Travel,0.6,2/26/2022
168,Unknown,Unknown,0.1,2/26/2022
172,Unknown,Financial,0.7,2/26/2022
175,Intentions and Mobility,Future Intentions,0.6,2/26/2022
176,Unknown,Transportation,0.3,2/26/2022
187,Unknown,Unknown,0.1,2/26/2022
188,Unknown,Age,0.2,2/26/2022
191,Unknown,Discrimination,0.3,2/26/2022
195,Unknown,Family,0.3,2/26/2022
196,Unknown,Unknown,0.1,2/26/2022
201,Unknown,Military,0.5,2/26/2022
203,Unknown,restriction,0.4,2/26/2022
205,Unknown,Healthcare,0.5,2/26/2022
206,Unknown,Transportation,0.2,2/26/2022
208,Unknown,Limit,0.2,2/26/2022
210,Unknown,Link,0.1,2/26/2022
228,Accommodation and Housing,Living Arrangements,0.7,2/26/2022
229,Accommodation and Housing,Living Arrangements,0.7,2/26/2022
231,Accommodation and Housing,Living Arrangements,0.6,2/26/2022
233,Unknown,visa,0.5,2/26/2022
234,Unknown,Travel,0.2,2/26/2022
238,Unknown,transportation,0.2,2/26/2022
245,Unknown,transportation,0.3,2/26/2022
247,Unknown,Travel,0.4,2/26/2022
248,Unknown,Family,0.2,2/26/2022
249,Accommodation and Housing,Living Arrangements,0.7,2/26/2022
274,Social Cohesion and Discrimination,Negative Attitudes from Host Communities,0.9,2/26/2022
